Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-10-15,MULTI,3.59,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-16,MULTI,3.53,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-17,MULTI,3.66,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-18,MULTI,3.93,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-19,MULTI,3.76,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-20,MULTI,3.85,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-21,MULTI,3.98,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-22,MULTI,3.95,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-23,MULTI,4.3,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-24,MULTI,4.29,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-25,MULTI,4.71,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-26,MULTI,4.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-27,MULTI,4.61,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-28,MULTI,4.51,18639320,1,0,0.0,0.0,no unlock,0.0
2022-10-29,MULTI,4.55,18639320,1,0,0.0,0.0,no unlock,0.0
