Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
May 29 2027,GMX,13058064.52,13058064.52,1808064.52,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 26 2027,GMX,13056854.84,13056854.84,1806854.84,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 23 2027,GMX,13055645.16,13055645.16,1805645.16,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 20 2027,GMX,13054435.48,13054435.48,1804435.48,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 17 2027,GMX,13053225.81,13053225.81,1803225.81,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 14 2027,GMX,13052016.13,13052016.13,1802016.13,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 11 2027,GMX,13050806.45,13050806.45,1800806.45,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 08 2027,GMX,13049583.33,13049583.33,1799583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 05 2027,GMX,13048333.33,13048333.33,1798333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
May 02 2027,GMX,13047083.33,13047083.33,1797083.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 29 2027,GMX,13045833.33,13045833.33,1795833.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 26 2027,GMX,13044583.33,13044583.33,1794583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 23 2027,GMX,13043333.33,13043333.33,1793333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 20 2027,GMX,13042083.33,13042083.33,1792083.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 17 2027,GMX,13040833.33,13040833.33,1790833.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 14 2027,GMX,13039583.33,13039583.33,1789583.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 11 2027,GMX,13038333.33,13038333.33,1788333.33,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 08 2027,GMX,13037096.77,13037096.77,1787096.77,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 05 2027,GMX,13035887.10,13035887.10,1785887.10,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Apr 02 2027,GMX,13034677.42,13034677.42,1784677.42,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 29 2027,GMX,13033064.52,13033064.52,1783064.52,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 26 2027,GMX,13031854.84,13031854.84,1781854.84,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 23 2027,GMX,13030645.16,13030645.16,1780645.16,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 20 2027,GMX,13029435.48,13029435.48,1779435.48,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 17 2027,GMX,13028225.81,13028225.81,1778225.81,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 14 2027,GMX,13027016.13,13027016.13,1777016.13,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 11 2027,GMX,13025806.45,13025806.45,1775806.45,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Mar 08 2027,GMX,13024553.57,13024553.57,1774553.57,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
